Name,,Sex,Age,Team,NOC,Year,City,Sport,Event,Gold,Bronze,Silver,None
Margarita Yeliseyeva,,F,24,Croatia,CRO,2016,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,0,0,1,1
Margit Vanek,,F,30,Ukraine,UKR,2016,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",0,0,1,1
Margot van Geffen,,F,26,South Africa,RSA,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,0,0,1,1
Marhinde Verkerk,,F,30,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,0,0,1,1
Marhu Abinet Teferi,,M,23,Norway,NOR,2016,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,0,1,0,1
Maria Carolina Werner,,F,22,United States,USA,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",0,1,0,1
Maria Enrica Spacca,,F,30,Canada,CAN,2014,Sochi,Curling,Curling Women's Curling,1,0,0,1
Maria Leonor Ribeiro Tavares,,F,30,France,FRA,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",1,0,0,1
Maria Springwald,,F,25,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,1,0,0,1
Maria Ugolkova,,F,27,Germany,GER,2016,Rio de Janeiro,Diving,Diving Men's Springboard,0,1,0,1
Maria Ugolkova,,F,27,Czech Republic,CZE,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",0,1,0,1
Maria Ugolkova,,F,27,Canada,CAN,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,0,1,0,1
Maria Verschoor,,F,22,United States,USA,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,1,0,0,1
Maria Vitalyevna Verchenova (-Balikoeva-),,F,30,China,CHN,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,1,0,0,1
Maria Wierzbowska,,F,21,Italy,ITA,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,0,0,1,1
Mariah Williams,,F,21,France,FRA,2016,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0,1,0,1
Mariam Usman,,F,25,Hungary,HUN,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Individual Medley,1,0,0,1
Mariama Djould Sow,,F,16,Austria,AUT,2014,Sochi,Biathlon,Biathlon Men's 10 kilometres Sprint,0,0,1,1
Marian Urdabayeva,,F,28,Great Britain,GBR,2016,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,0,1,0,1
Mariana dos Santos Silva,,F,26,Russia,RUS,2014,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,1,0,0,1
Marianna Tolo,,F,27,Mongolia,MGL,2016,Rio de Janeiro,Judo,Judo Women's Lightweight,0,0,1,1
Marianne Skarpnord,,F,30,Austria,AUT,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Super G,1,0,0,1
Marianne Vos,,F,29,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,1,0,0,1
Marie Wattel,,F,19,Japan,JPN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,1,0,1
Marie Wattel,,F,19,France,FRA,2016,Rio de Janeiro,Handball,Handball Men's Handball,0,0,1,1
Marie Yamaguchi,,F,26,Brazil,BRA,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,0,1,0,1
Marie-Jose Ta Lou,,F,27,Tunisia,TUN,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Lightweight, Freestyle",0,1,0,1
Marie-Jose Ta Lou,,F,27,Nigeria,NGR,2016,Rio de Janeiro,Football,Football Men's Football,0,1,0,1
Mariel Leigh Zagunis,,F,31,Nigeria,NGR,2016,Rio de Janeiro,Football,Football Men's Football,0,1,0,1
Mariel Leigh Zagunis,,F,31,Nigeria,NGR,2016,Rio de Janeiro,Football,Football Men's Football,0,1,0,1
Marija Vraji,,F,39,France,FRA,2016,Rio de Janeiro,Athletics,"Athletics Men's 3,000 metres Steeplechase",0,1,0,1
Marina Aranha Zablith,,F,29,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,1
Marina Toribiong,,F,22,Kazakhstan,KAZ,2016,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,0,1,0,1
Marina Toribiong,,F,22,United States,USA,2016,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,0,0,1,1
Marina Vladimirovna Sudakova (Yartseva-),,F,27,Canada,CAN,2014,Sochi,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,1,0,0,1
Marina Vukevi-Raji,,F,22,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,0,1,0,1
Mario Todorovi,,M,27,China,CHN,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles,1,0,0,1
Marius ikas,,M,31,Japan,JPN,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",0,0,1,1
Mariya Stadnik,,F,28,Austria,AUT,2014,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,0,1,0,1
Mariya Telushkina,,F,22,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,0,0,1,1
Mariya Viktorivna Ulitina,,F,24,Australia,AUS,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",0,0,1,1
Mariya Yuryevna Tolkachova,,F,18,China,CHN,2016,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,0,1,0,1
Mark James Todd,,M,60,Ethiopia,ETH,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,0,1,0,1
Mark James Todd,,M,60,Ethiopia,ETH,2016,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",0,1,0,1
Marko Simonovi,,M,30,United States,USA,2014,Sochi,Freestyle Skiing,Freestyle Skiing Women's Halfpipe,1,0,0,1
Marko Tomievi,,M,26,Brazil,BRA,2016,Rio de Janeiro,Football,Football Men's Football,1,0,0,1
Marko Tomievi,,M,26,Great Britain,GBR,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",1,0,0,1
Markta Slukov,,F,28,Norway,NOR,2014,Sochi,Nordic Combined,Nordic Combined Men's Team,1,0,0,1
Markus Thormeyer,,M,18,Great Britain,GBR,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,0,0,1,1
Marleen Maria van Iersel (-Ramond),,F,28,Ukraine,UKR,2016,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",0,0,1,1
Marlene Steinherr,,F,30,Sweden,SWE,2014,Sochi,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,0,1,0,1
Marrit Steenbergen,,F,16,Finland,FIN,2014,Sochi,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,0,0,1,1
Marrit Steenbergen,,F,16,Sweden,SWE,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,0,0,1,1
Marrit Steenbergen,,F,16,Italy,ITA,2014,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,0,1,0,1
Marta Walczykiewicz,,F,29,New Zealand,NZL,2016,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,0,0,1,1
Marta Walczykiewicz,,F,29,Great Britain,GBR,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,0,0,1,1
Marta Xargay Casademont,,F,25,Russia,RUS,2016,Rio de Janeiro,Handball,Handball Women's Handball,1,0,0,1
Marten Van Riel,,M,23,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,1,0,0,1
Martin Sinkovi,,M,26,Russia,RUS,2014,Sochi,Luge,Luge Men's Singles,0,0,1,1
Martin Strobel,,M,30,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,1,0,0,1
Martin Tian,,M,23,Great Britain,GBR,2016,Rio de Janeiro,Sailing,Sailing Men's Windsurfer,0,0,1,1
Martin Wolfram,,M,24,Kenya,KEN,2016,Rio de Janeiro,Athletics,Athletics Men's 800 metres,1,0,0,1
Martin Zwicker,,M,29,China,CHN,2016,Rio de Janeiro,Cycling,Cycling Women's Team Sprint,1,0,0,1
Martina Eva van Berkel,,F,27,United States-2,USA,2016,Rio de Janeiro,Tennis,Tennis Men's Doubles,0,1,0,1
Martina Eva van Berkel,,F,27,Serbia,SRB,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,0,0,1,1
Martina Eva van Berkel,,F,27,Croatia,CRO,2016,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,0,0,1,1
Martina Strutz,,F,34,Sweden,SWE,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,0,0,1,1
Martine Smeets,,F,26,Austria,AUT,2014,Sochi,Nordic Combined,Nordic Combined Men's Team,0,1,0,1
Martyna Trajdos,,F,27,Italy,ITA,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",0,0,1,1
Mary Joy Tabal,,F,27,France,FRA,2016,Rio de Janeiro,Judo,Judo Women's Heavyweight,1,0,0,1
Masanao Takahashi,,M,34,Italy,ITA,2016,Rio de Janeiro,Shooting,Shooting Women's Skeet,1,0,0,1
Masanao Takahashi,,M,34,Switzerland,SUI,2016,Rio de Janeiro,Tennis,Tennis Women's Doubles,0,0,1,1
Matas Tudela Perret,,M,31,Uzbekistan,UZB,2016,Rio de Janeiro,Boxing,Boxing Men's Welterweight,0,0,1,1
Matej Tth,,M,33,Australia,AUS,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,1,0,0,1
Mateja imic,,F,36,Norway,NOR,2014,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,0,1,0,1
Mateusz Wilangowski,,M,24,Australia,AUS,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,1,0,0,1
Matev Skok,,M,29,Germany,GER,2014,Sochi,Ski Jumping,"Ski Jumping Men's Large Hill, Team",1,0,0,1
Matteo Stefanini,,M,32,Japan,JPN,2014,Sochi,Freestyle Skiing,Freestyle Skiing Women's Halfpipe,0,1,0,1
"Matthew ""Matt"" Williams",,M,31,Hungary,HUN,2016,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",0,1,0,1
"Matthew ""Matt"" Williams",,M,31,Great Britain,GBR,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,1,0,0,1
Matthew Stanley,,M,24,Czech Republic,CZE,2014,Sochi,Biathlon,Biathlon Men's 15 kilometres Mass Start,0,1,0,1
Matthew Stanley,,M,24,Austria,AUT,2014,Sochi,Ski Jumping,"Ski Jumping Men's Large Hill, Team",0,0,1,1
Matthew Swann,,M,27,China,CHN,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",1,0,0,1
Matyas Szabo,,M,24,Spain,ESP,2016,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,0,0,1,1
Matylda Szlzak-Kowal,,F,27,United States,USA,2016,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",0,1,0,1
Maud van der Meer,,F,24,Russia,RUS,2016,Rio de Janeiro,Handball,Handball Women's Handball,1,0,0,1
Maurcio Luiz de Souza,,M,27,United States,USA,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,0,0,1,1
Max Antony Whitlock,,M,23,Belarus,BLR,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",0,1,0,1
Max Antony Whitlock,,M,23,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,0,0,1,1
Max Antony Whitlock,,M,23,Germany,GER,2016,Rio de Janeiro,Football,Football Women's Football,1,0,0,1
Max Antony Whitlock,,M,23,France,FRA,2016,Rio de Janeiro,Handball,Handball Men's Handball,0,0,1,1
Max Antony Whitlock,,M,23,United States,USA,2016,Rio de Janeiro,Cycling,Cycling Women's BMX,0,0,1,1
Max Antony Whitlock,,M,23,Finland,FIN,2016,Rio de Janeiro,Boxing,Boxing Women's Lightweight,0,1,0,1
Max Antony Whitlock,,M,23,Australia,AUS,2016,Rio de Janeiro,Archery,Archery Men's Team,0,1,0,1
Maximilien Van Haaster,,M,24,Russia,RUS,2016,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,1,0,0,1
McLain Ward,,M,40,Japan,JPN,2016,Rio de Janeiro,Tennis,Tennis Men's Singles,0,1,0,1
McLain Ward,,M,40,Japan,JPN,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,0,0,1,1
Meaghan Volker,,F,25,United States-2,USA,2016,Rio de Janeiro,Tennis,Tennis Mixed Doubles,1,0,0,1
Megan Simmonds,,F,22,Netherlands,NED,2014,Sochi,Speed Skating,"Speed Skating Men's 5,000 metres",0,1,0,1
Mehmet Nadir nal,,M,23,Spain,ESP,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,0,1,0,1
Melanie Kate Wilson,,F,32,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,1,0,0,1
Melissa Paige Wu,,F,24,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,0,0,1,1
Melissa Palma Julie Tancredi,,F,34,Canada,CAN,2016,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,0,1,0,1
Melissa Tapper,,F,26,Russia,RUS,2016,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,1,0,0,1
Melissa Tapper,,F,26,Denmark,DEN,2016,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,1,0,0,1
Melitina Dmitriyevna Stanyuta,,F,22,Canada-1,CAN,2014,Sochi,Bobsleigh,Bobsleigh Women's Two,1,0,0,1
Merle van Benthem,,F,23,United States,USA,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,0,0,1,1
Micha Szpakowski,,M,27,Serbia,SRB,2016,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,1,0,0,1
Micha Szyba,,M,28,Norway,NOR,2016,Rio de Janeiro,Handball,Handball Women's Handball,0,1,0,1
"Michael ""Mike"" Woods",,M,29,Denmark,DEN,2016,Rio de Janeiro,Sailing,Sailing Women's Skiff,0,1,0,1
Michael Daniel Chukwuma  Umeh,,M,31,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,0,0,1,1
Michael DeLorean Tinsley,,M,32,France,FRA,2016,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,0,1,0,1
Michael Tayler,,M,24,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 200 metres,0,1,0,1
Michael Venus,,M,28,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,0,0,1,1
Michael Watt,,M,29,North Korea,PRK,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Bantamweight,0,0,1,1
Michael Whitaker,,M,56,Belarus,BLR,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",0,1,0,1
Michael Whitaker,,M,56,Italy,ITA,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,0,0,1,1
Michal Smolen,,M,22,Sweden,SWE,2014,Sochi,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,0,1,0,1
Micheen Barbara Thornycroft,,F,29,Serbia,SRB,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,0,1,0,1
Michel Tresor Tornus Komesha,,M,30,Great Britain,GBR,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,0,0,1,1
Michelle Vittese,,F,26,Brazil,BRA,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,0,1,0,1
Michelle Vorster (Mills-),,F,37,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,0,0,1,1
Michelle Weber,,F,19,Azerbaijan,AZE,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",0,1,0,1
Michelle Williams (-Toro),,F,25,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's Long Jump,0,0,1,1
Michelle Williams (-Toro),,F,25,United States,USA,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,1,0,0,1
Mickal-Meba Zz,,M,22,Brazil,BRA,2016,Rio de Janeiro,Football,Football Men's Football,1,0,0,1
Miguel Armando Ubeto Aponte,,M,39,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,1,0,0,1
Miguel Leite Valente,,M,23,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,1,0,0,1
Miguel Luis Tabuena,,M,21,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,0,0,1,1
Miha Zarabec,,M,24,Slovenia,SLO,2016,Rio de Janeiro,Judo,Judo Women's Half-Heavyweight,0,1,0,1
Mihael gank,,M,22,Trinidad and Tobago,TTO,2016,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,0,1,0,1
Miho Takahashi,,F,23,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,1,0,0,1
Miho Teramura,,F,21,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,1,0,0,1
Miho Yoshioka,,F,25,Japan,JPN,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,1
Mikel Kevon Thomas,,M,28,France,FRA,2016,Rio de Janeiro,Boxing,Boxing Men's Welterweight,0,1,0,1
Miki Uchida,,F,21,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,0,0,1,1
Miki Uchida,,F,21,United States,USA,2016,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,0,0,1,1
Miki Uchida,,F,21,United States,USA,2016,Rio de Janeiro,Cycling,Cycling Women's Omnium,0,0,1,1
Mikls Srp,,M,23,France,FRA,2014,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,0,1,0,1
Mikls Ttrai,,M,29,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",1,0,0,1
Mikls Ttrai,,M,29,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,1,0,0,1
Mikls Ungvri,,M,35,Japan,JPN,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Freestyle",0,0,1,1
Miku Tashiro,,F,22,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 200 metres,1,0,0,1
Milan Trajkovic,,M,24,Italy,ITA,2016,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",0,0,1,1
Milda Valiukait,,F,22,Turkey,TUR,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",0,1,0,1
Milenko Zori,,M,27,Austria,AUT,2016,Rio de Janeiro,Sailing,Sailing Mixed Multihull,0,1,0,1
Milenko Zori,,M,27,Brazil,BRA,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,0,0,1,1
Miles Ukaoma,,M,24,Germany,GER,2016,Rio de Janeiro,Sailing,Sailing Men's Skiff,0,1,0,1
Milica Starovi,,F,28,Great Britain,GBR,2014,Sochi,Curling,Curling Men's Curling,0,0,1,1
Milica Starovi,,F,28,Switzerland,SUI,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,0,1,0,1
Milko Sergei Olavi Tokola,,M,23,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Backstroke,1,0,0,1
Milo Teodosi,,M,29,Italy,ITA,2016,Rio de Janeiro,Shooting,Shooting Women's Skeet,0,0,1,1
Milo Vasi,,M,25,Denmark,DEN,2016,Rio de Janeiro,Handball,Handball Men's Handball,1,0,0,1
Miltiadis Tentoglou,,M,18,Italy,ITA,2016,Rio de Janeiro,Diving,Diving Women's Springboard,0,1,0,1
Milutin Stefanovi,,M,31,Canada,CAN,2014,Sochi,Figure Skating,Figure Skating Mixed Team,0,0,1,1
Minhal Sohail,,F,21,Sweden,SWE,2014,Sochi,Cross Country Skiing,Cross Country Skiing Men's Sprint,0,1,0,1
Mink Alphons van der Weerden,,M,27,Russia,RUS,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,0,1,0,1
Mio Yamanaka,,F,20,Great Britain,GBR,2016,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,1,0,0,1
Miriam Fatime Sylla,,F,21,United States,USA,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,0,1,0,1
Miriam Welte,,F,29,Germany,GER,2016,Rio de Janeiro,Handball,Handball Men's Handball,0,1,0,1
Miriam Welte,,F,29,Australia,AUS,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,1,0,0,1
Miriam Welte,,F,29,Italy,ITA,2016,Rio de Janeiro,Shooting,Shooting Men's Trap,0,0,1,1
Mirosaw Zitarski,,M,22,China,CHN,2016,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",0,1,0,1
Miroslav Vratil,,M,33,Uzbekistan,UZB,2016,Rio de Janeiro,Boxing,Boxing Men's Middleweight,0,0,1,1
"Miroslava ""Mirka"" Topinkov Knapkov",,F,35,Uzbekistan,UZB,2016,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,1,0,0,1
Misaki Yamaguchi,,F,26,Thailand,THA,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Lightweight,0,0,1,1
Misha Zilberman,,M,27,China,CHN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,1,1
Mitchel Steenman,,M,32,Canada,CAN,2014,Sochi,Curling,Curling Women's Curling,1,0,0,1
Mitko Tsenov,,M,23,Cote d'Ivoire,CIV,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Welterweight,0,1,0,1
Miyuki Uehara,,F,20,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,1,0,0,1
Mo Zhang,,F,27,Germany,GER,2016,Rio de Janeiro,Handball,Handball Men's Handball,0,1,0,1
Moacir Zimmermann,,M,32,South Korea,KOR,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Featherweight,0,1,0,1
Mohamed Al-Taieb,,M,19,Great Britain,GBR,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,0,1,0,1
Mohamed Aly Zaghloul Mohamed,,M,22,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,0,1,0,1
Mohamed Soussi,,M,23,Belarus,BLR,2014,Sochi,Freestyle Skiing,Freestyle Skiing Men's Aerials,1,0,0,1
Mohamed Thakil,,M,30,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,1,0,1
Mohammad Anas Yahiya,,M,21,Russia,RUS,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",0,1,0,1
Mohammad Anas Yahiya,,M,21,China,CHN,2016,Rio de Janeiro,Diving,Diving Women's Platform,0,0,1,1
Mohammed Amine Tayeb,,M,30,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 100 metres,0,0,1,1
Monique Sullivan,,F,27,Russia,RUS,2014,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,0,0,1,1
Monique Sullivan,,F,27,Russia,RUS,2014,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,0,0,1,1
Monique Sullivan,,F,27,Canada-1,CAN,2014,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,0,0,1,1
Morad Zemouri,,M,23,Slovakia,SVK,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",0,0,1,1
Moritz Trompertz,,M,20,Sweden,SWE,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",0,0,1,1
"Mostafa Al-Ismaili ""Smaili""",,M,19,Slovenia,SLO,2014,Sochi,Biathlon,Biathlon Women's 10 kilometres Pursuit,0,1,0,1
Mris trombergs,,M,29,Switzerland,SUI,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,0,1,0,1
Mrton Gyrgy Vmos,,M,24,Canada,CAN,2016,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,0,0,1,1
Mrton Szivs,,M,34,Nigeria,NGR,2016,Rio de Janeiro,Football,Football Men's Football,0,1,0,1
Muamer Tankovi,,M,21,United States,USA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,1,0,0,1
Muhammad Hanif Wijaya,,M,19,Spain,ESP,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,0,0,1,1
Muhammad Hanif Wijaya,,M,19,Canada,CAN,2016,Rio de Janeiro,Football,Football Women's Football,0,1,0,1
Murphy Edward Troy,,M,27,Poland,POL,2016,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,1,0,0,1
Murray Stewart,,M,30,Finland,FIN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,0,1,0,1
Musashi Suzuki,,M,22,China,CHN,2014,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,0,0,1,1
Nadine Visser,,F,21,Great Britain,GBR,2016,Rio de Janeiro,Cycling,Cycling Women's Sprint,0,1,0,1
Nadine Visser,,F,21,Croatia,CRO,2016,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,1,0,0,1
Nadine Zumkehr,,F,31,China-1,CHN,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,1,0,0,1
"Nafissatou ""Nafi"" Thiam",,F,21,China,CHN,2016,Rio de Janeiro,Diving,Diving Men's Platform,1,0,0,1
Namita Toppo,,F,21,United States,USA,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",0,1,0,1
Nanna Vainio,,F,25,Colombia,COL,2016,Rio de Janeiro,Athletics,Athletics Women's Triple Jump,1,0,0,1
Naohisa Takato,,M,23,Germany,GER,2016,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,1,0,0,1
Naomi Frances van As,,F,33,South Korea,KOR,2016,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",1,0,0,1
Naomichi Ueda,,M,21,Germany,GER,2016,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,0,1,0,1
Napis Tortungpanich,,M,21,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,0,0,1,1
Napis Tortungpanich,,M,21,Nigeria,NGR,2016,Rio de Janeiro,Football,Football Men's Football,0,1,0,1
Napis Tortungpanich,,M,21,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,1,0,0,1
Natalia Cristina Valentn Len,,F,26,Germany,GER,2016,Rio de Janeiro,Football,Football Women's Football,1,0,0,1
Nataliya Aleksandrovna Vyatkina,,F,29,France,FRA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,0,1,1
Nataliya Olehivna Zolotukhina,,F,31,France,FRA,2016,Rio de Janeiro,Handball,Handball Women's Handball,0,0,1,1
Nataliya Siniin,,F,31,United States,USA,2014,Sochi,Snowboarding,Snowboarding Men's Boardercross,0,1,0,1
Nataliya Vitalyevna Vorobyova,,F,25,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,0,1,1
